Product Card Id,Product Name,Product Category Id,Category Name,Product Price,Department Id,Department Name
1360,Smart watch ,73,Sporting Goods,327.75,2,Fitness
365,Perfect Fitness Perfect Rip Deck,17,Cleats,59.99000168,4,Apparel
627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,39.99000168,5,Golf
502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,50.0,5,Golf
278,Under Armour Men's Compression EV SL Slide,13,Electronics,44.99000168,3,Footwear
249,Under Armour Women's Micro G Skulpt Running S,12,Boxing & MMA,54.97000122,3,Footwear
191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,99.98999786,3,Footwear
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,41,Trade-In,21.98999977,6,Outdoors
828,Bridgestone e6 Straight Distance NFL San Dieg,37,Electronics,31.98999977,6,Outdoors
642,Columbia Men's PFG Anchor Tough T-Shirt,29,Shop By Sport,30.0,5,Golf
818,Titleist Pro V1x Golf Balls,37,Electronics,47.99000168,6,Outdoors
825,Bridgestone e6 Straight Distance NFL Tennesse,37,Electronics,31.98999977,6,Outdoors
306,Polar FT4 Heart Rate Monitor,38,Kids' Golf Clubs,89.98999786,6,Outdoors
977,ENO Atlas Hammock Straps,44,Hunting & Shooting,29.98999977,7,Fan Shop
44,adidas Men's F10 Messi TRX FG Soccer Cleat,3,Baseball & Softball,59.99000168,2,Fitness
251,Brooks Women's Ghost 6 Running Shoe,12,Boxing & MMA,89.98999786,3,Footwear
403,Nike Men's CJ Elite 2 TD Football Cleat,18,Men's Footwear,129.9900055,4,Apparel
957,Diamondback Women's Serene Classic Comfort Bi,43,Camping & Hiking,299.980011,7,Fan Shop
1352,Industrial consumer electronics,65,Consumer Electronics,252.8800049,10,Technology
1349,Web Camera,62,Cameras ,452.0400085,10,Technology
1351,Dell Laptop,64,Computers,1500.0,10,Technology
60,SOLE E25 Elliptical,4,Basketball,999.9899902,2,Fitness
24,Elevation Training Mask 2.0,2,Soccer,79.98999786,2,Fitness
567,adidas Men's Germany Black Crest Away Tee,26,Girls' Apparel,25.0,5,Golf
